date,20_ER,20_MKT,40_ER,40_MKT,45_ER,45_MKT,10_ER,10_MKT,25_ER,25_MKT,50_ER,50_MKT,55_ER,55_MKT,35_ER,35_MKT,30_ER,30_MKT,15_ER,15_MKT,60_ER,60_MKT
2017-09-29,0.022855437017952264,2959003.6411488904,0.020223508024417844,4597253.69669878,0.020921480708190936,3930767.33441532,0.010603159215238564,1427185.85809451,0.016173944129436218,2365413.0551198404,0.02098082506086714,3240714.0615783096,0.002740978122077227,824104.50481117,0.014325349170396101,3584570.4402901195,-0.0016265673990543828,2030814.0289670494,0.021093309416935633,736009.3137650401,0.0014360505200078492,1016320.3140908999
2017-10-27,0.023637617472479625,3023692.5716254697,0.02401445664107578,4748939.08218104,0.030055588422807727,4179632.5337284403,0.009925813798193638,1449656.92951489,0.022222496649302252,2427574.27084406,0.016559275731740375,3283380.16016793,0.00715557692309381,852746.97110331,0.011796694081490002,3652925.1536145303,-0.007921944963458185,1942603.97080815,0.028411429614422383,689314.23118595,-0.0008437749402810721,1019207.4956752199
2017-11-24,0.03372917251990466,2956633.2240804196,0.03186513629734418,4706801.02611395,0.03423551932996423,4400086.02113125,0.028083916909404264,1449051.7610486099,0.030149565859842478,2518503.64780609,0.024822947096684807,3353612.7356079794,0.004887285818176037,860370.05287058,0.027439822243284662,3544128.8503170903,0.000706263592228608,1985084.4243468803,0.03270395593316787,688689.5954696301,0.006340185547088205,1042966.82143512
2017-12-29,0.0217116112198511,3138109.6996766003,0.021767438464769986,4971182.957967039,0.03295014427113942,4415502.618769141,-0.0004021486529437513,1555334.26724546,0.02564173185201475,2651383.58391157,0.02439859203983977,3508202.13294777,0.011079203986255719,819569.9157305701,0.02118309307340524,3623904.21285138,0.0157802006290185,2073621.9782969004,0.023410375395411846,720596.60134201,0.008519370452175407,1029431.12138188
2018-01-26,0.036884329553536634,3295159.00641081,0.03909805016349283,5267730.874612249,0.03638754704069236,4664293.52433913,0.027670986383918544,1674746.7997608802,0.045707994509649144,2855036.58574648,0.04183448022449627,3727330.53650056,-0.003005778015088487,784072.8309032499,0.050195944239163605,3907949.8692457904,0.03481775676798123,2136035.6585068293,0.024381093268581032,751442.2147256699,0.0052359563158128584,1003104.2672241001
2018-02-23,0.018499783112231136,3176773.3948833896,0.019972937544130397,5110306.98795859,0.027129839709995225,4598523.2575995,0.010222113449109511,1464000.9470786802,0.028440859048625797,2780033.26479861,0.027996422351977888,3583790.22125314,-0.002599318553494998,780501.63505656,0.013934104222956661,3714708.35940097,0.016650352521454075,2033555.0987699898,0.017325362000119568,721355.15897139,-0.0024020419375779816,974564.46316251
2018-03-30,-0.0016192007160369152,3081371.49842937,0.0013510820153562518,4940875.723932089,0.01886020859605455,4690738.71053334,-0.027681792977392834,1462314.9656749202,0.00427313143687089,2749897.80884846,-0.0062492954541097535,3377484.2099863305,0.008423716487675651,778603.4764147302,-0.006394941728051769,3559213.34760162,-0.011857851493541505,1903337.22194965,-0.004241366692708592,690777.53605411,-0.0017241151062099393,974696.1222335601
2018-04-27,-0.02109790184684447,3116851.31943441,-0.01757462945319633,4967927.18337739,-0.008618850929373312,4545822.900189269,-0.03321978208105136,1604489.04402235,-0.01778612439136764,2731017.94893259,-0.03984753536529271,3425554.32515609,0.005960618628663053,790628.43822515,-0.03011600832244262,3593719.0612429203,-0.02814746312979501,1854944.63623024,-0.021530610197412727,707691.1140188301,-0.001225927137676206,970935.83720128
2018-05-25,0.006109420708849488,3159844.42416849,0.0067811001110770356,5062389.0401721895,0.007589406341000371,4797310.68772686,0.005211260447594755,1689569.6213355497,0.0057726631047842186,2813323.29648906,-0.013967934252031832,3480577.4388063895,-0.005539670635611601,775420.98817383,0.005050060965030096,3632485.76264175,-0.016409439003226247,1833010.20812287,0.0019006897446351132,724523.3559081799,0.0012704588402075215,997545.3617348201
2018-06-29,0.006720635651623305,3012401.73169596,0.006186361319872893,4909557.330486041,0.013553688316661427,4736909.8541576695,0.035068886510186234,1612321.61395583,0.024770256880734108,2869469.16189698,0.02395294735687228,3700317.47722522,-0.00048459022978712197,815995.9948747901,0.02121954850791731,3704837.6831269097,0.008134124322825759,1905259.0205989303,0.007668685957729868,699151.6472527101,0.013333927046655297,1053128.34920287
2018-07-27,0.011913911703336836,3021224.60868614,0.01645727334638514,5110414.92788696,0.028527496952258466,4912613.8866574,0.021431627435890426,1638842.2136059802,0.030728690435189727,2960432.7718729796,0.036419729501808745,3670507.92738539,0.005221699640480091,829252.48803961,0.03163391923260258,3862327.35505035,0.013497133167094116,1931134.06984902,0.011757580563907421,700662.42234689,0.009302566343814248,1059275.7335800899
2018-08-31,0.008734443428241444,3154780.7278041104,0.012648448672473112,5224375.86702113,0.04000338600460586,5143367.9593153,-0.0015877355087811295,1649806.0903209,0.042393454133678087,3036760.7440269105,0.028923420590765046,3774484.393425201,0.007465120715153067,848561.26265055,0.03916025258538745,4068986.43251824,0.017690943228996257,1981929.4053466101,-0.0021992877584908585,706808.1110398201,0.02035588687297335,1092692.44353414
2018-09-28,0.019205366422568378,3188977.51497646,0.02005883009947046,5217776.63032398,0.03507691383312665,5179034.9225075,-0.0009890511560124728,1687275.67958613,0.03810917308228612,3036856.02996141,0.027200566004529827,3656751.6715573203,0.0018686827346648448,842258.12209879,0.03712484867615175,4171503.04688501,0.017254478923455465,1989935.6618468,0.006628223809656516,858533.32782081,-0.0023385390931279226,1089075.7281646
2018-10-26,-0.031070628661583947,2915038.83874599,-0.024336663499134797,4731236.664123571,-0.012577452779674243,4820273.28041139,-0.04247238464158858,1544655.3827559801,-0.014818625014077654,2766045.40965386,-0.020111674673619056,3467542.01782016,0.003541709498068379,864278.99258176,-0.011773732126097051,3937632.5322342003,-0.0015872036473515798,1945087.91510802,-0.041424786786002775,755309.4129484401,-0.01044643092541465,1012437.0315505101
