,BM,HML,SMB,MOM,OP,INV,REV
2014-04-25,292.2458409658644,0.6606742769069522,117.75925576803094,49.89360120285158,94.23648745552123,15.8064797463267,252.21627588669799
2014-05-02,296.0605581740114,0.6558084681574751,114.5790875132205,50.08736301492987,95.16352169827636,15.898312105882471,251.53408379161178
2014-05-09,295.5069514928953,0.6509678035155654,112.17807817135672,49.55693834207372,96.90578038855712,15.68410821335262,247.38611691771536
2014-05-16,295.6119212174724,0.6505455995724443,111.6610799216958,49.08185698516638,96.50483343930182,15.655164374634909,247.97340240543818
2014-05-23,299.76637820005556,0.6460212453717461,112.34419456187017,49.91706439132384,95.88390471857174,15.756220893642892,250.49602659819166
2014-05-30,303.2643417136569,0.6462402074733025,112.04893354923544,50.153691494829964,95.42031383510876,15.791468989115849,250.05311469618653
2014-06-06,307.7971770057405,0.6460677648938271,111.57778144786366,50.50200776891838,95.35783812637929,15.853497756761161,250.68523697187138
2014-06-13,305.8174527554793,0.6453371356205342,112.8670462259295,50.11626288838827,93.55284838253903,15.967633633433781,251.4787846428773
2014-06-20,310.3547568959979,0.6467773904142549,113.13570095645183,50.73801440516519,92.35717132724055,16.171469023059302,251.95426866123043
2014-06-27,310.36077119173495,0.647615489547479,113.86637533264758,50.5838235245521,92.1828840039846,16.220144836396965,251.47216987418037
2014-07-04,314.34574094440774,0.6457677036268097,115.91752262092992,50.471091236370434,91.63226233475643,16.21915999415573,252.9564344444588
2014-07-11,310.3843294630167,0.6444566528500049,112.66582808608985,50.89311562250147,93.3804671806495,16.037819728258377,257.19178676865124
2014-07-18,311.6978668996404,0.6390136896187153,111.79362119282993,50.94754281726019,93.76927549357264,15.953464856090966,259.0735403283311
2014-07-25,312.14994972823433,0.6499383788542814,110.50592262453137,51.33547848966383,93.52612508218546,16.184529217167803,257.98758624175014
2014-08-01,305.0387716950299,0.6406212180761298,110.51368116506231,50.327790628777805,92.93145480318958,16.14234789628329,258.6964727272446
2014-08-08,306.9431653083519,0.6375262782770095,111.96983063741281,50.38114258276422,92.26878245640943,16.14961187555271,261.40246392664454
2014-08-15,311.0568997426287,0.6311573797478828,110.69047482679899,51.04931571635704,91.74134754327872,16.253011781939104,260.8209115683047
2014-08-22,316.41152237966133,0.6257897021376522,110.33319098755454,50.80119957031688,92.14791210458516,16.209729801181627,260.94738533264376
2014-08-29,319.0107458510141,0.6286455304716202,110.78137664266144,51.15370417196666,91.54881983361999,16.30682172531514,262.3544464446309
2014-09-05,319.71182319324475,0.6272335533042301,109.16748576708919,51.64477004934129,92.3409035736524,16.26232415898259,261.07253342207815
2014-09-12,316.33883033730575,0.6247640489446412,110.4090497226222,51.3826807160625,91.68072582022806,16.392304398521514,261.6837443889679
2014-09-19,319.3163176918167,0.6216744666759125,107.77005749683573,52.064450420746454,92.70120424855023,16.306504741154573,260.9774214334845
2014-09-26,314.4701047072143,0.6263956655881631,106.81269979834386,52.57163487799281,93.28165190344892,16.44799756253348,258.8625581053358
2014-10-03,312.0330788259087,0.6267399734270689,106.9673253596563,52.514641070913214,94.09180766630693,16.510021729953074,253.0525573264774
2014-10-10,301.45996844669173,0.6227673652221479,105.76160445270763,52.36472726641494,95.54866158824981,16.318287632926083,248.04339764085188
2014-10-17,299.9093274719859,0.6180043021237891,110.40581250888317,51.07925258203983,94.00104243147555,16.43175768456863,253.9806287255295
2014-10-24,312.52388901444783,0.6219993437096565,107.41447561271852,51.90976312157727,94.31828766026466,16.47556683724843,249.60940267350813
2014-10-31,322.42051121859987,0.6154798944328631,109.98773149907736,51.72427697695292,93.6953437664349,16.601776631396362,249.03174495292032
2014-11-07,324.84900093596343,0.6106302241210966,108.47696340932482,51.488746128962724,94.579853333994,16.329366569640552,249.94418363728926
2014-11-14,326.1879182003986,0.6125798300209787,107.57668251684069,51.94857222635138,95.24024398802403,16.431167846763582,249.70436313982734
2014-11-21,329.6071938928029,0.6165373122400185,104.79276005469006,52.226129268507215,95.631034835634,16.39484322270571,253.9335025854806
2014-11-28,330.7086197388715,0.6186050899046586,102.88775631377543,53.56691077142209,96.11128691353072,16.472362872213957,243.71787590229965
2014-12-05,331.829234680851,0.6119564838233156,103.12728450370746,54.41200030729242,96.4278485164851,16.34409927388587,239.93634269381846
2014-12-12,320.3817291975363,0.6155170200575855,103.69564113498089,54.93047308450752,95.63369119585037,16.40920714994513,232.69700673783578
2014-12-19,331.3246391549295,0.6113164461210389,105.26293801431197,53.56497153991073,94.7195706014191,16.526740163514834,242.45760294879935
2014-12-26,334.61659345042625,0.6087479128641217,105.78352632411465,53.68613228541514,94.45073913610877,16.35813788350947,239.64897174732005
2015-01-02,329.9367722257085,0.6042651810641643,106.69441513212438,53.119872463551616,93.73669824910323,16.369508853241367,242.15784287751202
2015-01-09,327.7480436524035,0.6167378084301992,104.63334941483191,55.19615888829427,94.11390590067468,16.480443680835723,239.01912069617572
2015-01-16,324.0052827646742,0.6233772254129066,104.07575019679271,56.36019839580207,95.13907001784536,16.348525682302604,235.86302528473018
2015-01-23,329.2393509516413,0.6260253453726424,101.71058570410183,57.383657042182854,96.08992621992937,16.418204201670658,235.21569476319712
2015-01-30,321.86525295971785,0.6206384427129158,100.87783808486888,57.40679972682254,95.60536162321004,16.35066223024157,236.1565877215497
2015-02-06,332.6097066550954,0.5947360807151567,103.63891410416828,54.51092291863468,95.55612049979196,16.18814589944971,250.80270359302463
2015-02-13,339.44440309061446,0.5933171565800787,103.11314335662972,53.876211689266036,95.61511164543177,16.20890329325225,252.9624304935564
2015-02-20,342.0568606074889,0.5955101625595199,101.64116398361747,54.233553315328464,96.10057968565829,16.35011181689203,251.05680767546937
2015-02-27,341.30145099306986,0.5945373272504529,102.14535234922033,54.33907890855022,95.88222906720391,16.446742271602822,250.50387070722348
2015-03-06,336.5798967539257,0.5961417801138409,101.96399918449539,54.290025067327,95.74171194793671,16.68650256189476,246.8795385905625
2015-03-13,334.64030531007677,0.5937011124172356,102.4438901731252,55.97140125066227,95.29261783529437,16.82905790266331,250.7785315098923
2015-03-20,343.6817987469892,0.5977956913405248,101.24635804742437,56.78811362244781,95.45649736813566,16.898167455211567,252.15240423993544
2015-03-27,336.38507911995987,0.5916137622277687,102.00899212737018,56.44610285421903,96.29579479603379,16.872579175426143,251.9888146023657
2015-04-03,337.73608147778003,0.5868396882108654,103.15232214657627,55.87687989842607,96.11555528036484,16.81531218181098,250.75794041665907
2015-04-10,342.83809526520616,0.5902851674774049,102.78638865193666,55.30556659374824,95.93418753096077,16.869836197226554,253.90477941540865
2015-04-17,339.34395519894764,0.5843763598999786,104.43374959976718,53.62833039948876,95.9913146723669,16.86925065704912,257.6201467636143
2015-04-24,345.4123740996196,0.5881654736293257,104.2208343132476,54.330742811389605,95.79186062290687,16.81864801146276,256.04242847902435
2015-05-01,343.40695832336814,0.5767398276728836,101.47385110853507,52.8373156246515,97.12370377389472,16.641553044662025,254.25993898179163
2015-05-08,345.51907181417477,0.5746914165872398,100.38261775139911,53.45396333425975,97.37818003883005,16.657103141387157,255.8818941589652
2015-05-15,347.01502616231994,0.5719344925472132,100.48314207613022,53.667220735463054,96.89613126257105,16.67876834498274,254.60779093387725
2015-05-22,348.0887571466379,0.5709517161562176,99.10456491936782,54.55275315063868,96.69726693383528,16.813839320083023,254.93908485804485
2015-05-29,345.27373569920314,0.573458410304104,99.25220183502628,55.72691858975043,96.39221134205575,16.89835883862246,253.99246348078722
2015-06-05,344.10650450905587,0.5707837392842201,101.9166328360699,54.95053457542303,95.68136900885101,16.963430110021992,252.3289657776295
2015-06-12,344.4287465985214,0.565854042398716,102.22028574656409,55.15824948334917,96.2113400463726,17.02895902031857,250.5499181859751
2015-06-19,347.4217420408072,0.5729621579860915,102.1745476296524,56.51066771816717,96.27868790427394,17.377060243730995,245.58496972756222
2015-06-26,345.99090666396734,0.567107562388651,102.62612379107298,56.55479994427549,96.46422012366682,17.32586969271305,244.532392569941
2015-07-03,341.7171759625757,0.5714398609342572,100.93276362036862,58.13556740557331,97.20375127384317,17.459177849522135,244.9015091558959
2015-07-10,341.87401129072043,0.5763794779167604,100.56481979079871,59.67841544411796,97.93194726775316,17.643594908515357,242.4595810937845
2015-07-17,350.8470106969933,0.5838781268327674,99.97736871120836,61.22777505265861,97.35980888022509,17.963649079923385,239.53065649391345
2015-07-24,343.3687893599222,0.5856493017197119,97.66381718210113,62.92895669198516,98.40695640103512,17.99999808817394,238.40035624534042
2015-07-31,348.46191891639836,0.5842137176092198,96.50542293906743,62.85090435074557,99.71564296771179,17.93008798212103,239.7434898641962
2015-08-07,344.4043161743652,0.5773967260249006,94.5280404644397,63.74892825356524,101.69452001289147,17.681984940487073,235.51127829179384
2015-08-14,347.1691183982598,0.5708732334536585,93.47492405101944,63.26317963695881,102.83868363943728,17.64333147949823,237.1814099225343
2015-08-21,327.86360789636126,0.5684667717258797,94.3784378900828,63.81290648973511,102.00713031393002,17.651349584651324,234.49806339680845
2015-08-28,330.88282039368073,0.5693660659197642,95.30161371413249,62.974315227958506,100.94462681562293,17.612502774878052,241.13368265446636
2015-09-04,320.26016120776603,0.5669884916394932,96.73459102855908,63.30516085803363,101.17359029969062,17.594231309951194,238.00040081245552
2015-09-11,326.80399504357644,0.5750578130990343,95.99179543354191,65.44349916499732,101.40726184726215,17.840777811296512,239.6683524313541
2015-09-18,326.7481745328941,0.5818881238343835,96.88251510713748,66.48738231984292,99.41236121048819,18.167463417910632,241.55251642982438
2015-09-25,321.5234813661858,0.5677835882761576,93.41197665950865,66.33500052824863,103.52444997166585,17.711541961048763,233.36455006804806
2015-10-02,324.2162809630387,0.5659311854585948,91.9856974499357,65.71100768703788,104.16819543913492,17.442113630360257,235.2246594702321
2015-10-09,334.80430060875693,0.5403872643158689,96.94649165136009,59.03990120839741,102.31787535486174,16.947446100481034,246.7278062717169
2015-10-16,337.33968994549855,0.5461615817488452,95.9201952650369,61.27487889583248,102.45994121643072,17.152098458876097,242.13268489137863
2015-10-23,343.6211556505489,0.5390116161064995,95.25420863391423,62.073347293374695,105.28821991531397,16.93738507219174,234.7174622542838
2015-10-30,345.36762200746006,0.5453900448057379,92.93250110366112,63.832384981657334,106.18269234158679,17.15293578928193,233.38624646809205
2015-11-06,350.27848898184305,0.5412218851204833,96.15952034534519,62.833333731714205,102.52739026298359,17.11012170570206,234.88299156404966
2015-11-13,338.0664702312947,0.5456624236495295,92.83020923296444,65.51387086320318,103.35751372278635,17.317848419485742,233.63121259864005
2015-11-20,348.8055516417458,0.549521396576916,90.69158906260375,66.64841635781983,104.03643912386191,17.34265498348575,231.95616939223194
2015-11-27,349.83837871196147,0.5533226039005906,93.67892028383737,66.42624628938643,101.9680566638885,17.424739167767278,234.561511612062
2015-12-04,349.2931153694136,0.5537496032068265,91.78949670930565,68.2798467789408,103.5022229624956,17.53476326094194,233.17185394035937
2015-12-11,335.69806517619367,0.56218404116721,90.32360538855222,68.48537538974522,104.58060492382113,17.62584523672932,235.45532122038148
2015-12-18,334.7320805289991,0.56417996507005,91.91386098690735,68.58066962301186,102.92456998570384,18.05328634207195,234.1914658419716
2015-12-25,343.6497354190677,0.5515207208487355,93.04680495693947,66.46384877856032,101.95313191010985,17.79961842356998,236.71853553750063
2016-01-01,340.8555214242814,0.5576567931495209,91.22171322126768,67.88889758860387,102.69871729771242,18.000649451397162,235.72569780172086
2016-01-08,320.2482498030449,0.5631702958012742,87.36795180710324,69.61059447327801,105.60725135159369,17.97181162121419,230.37743307209442
2016-01-15,312.52958966394596,0.5703026075038841,84.59790427778029,71.52998625854241,108.31955886348783,17.88022756462203,225.47558622554973
2016-01-22,316.9388239714024,0.5712781199394381,85.95232674956596,70.80608311227067,108.14100154919045,17.89055026100115,227.4721871774641
2016-01-29,322.5281549610381,0.5529554980153768,86.00263306397586,69.73834652513193,109.22380327364624,17.40123942793464,229.4383184224485
2016-02-05,312.7062630561279,0.5420589439199043,83.97393335889967,67.57805650558859,110.18728734575176,17.035629278458664,224.18553481627964
2016-02-12,310.4691928191499,0.5472871732986484,83.29780403040225,70.22140399996252,112.77641326070889,17.042466976138325,217.85861048759622
2016-02-19,319.9683517851754,0.5476373185325167,84.04285900318753,69.0559080542395,111.22181275657259,17.23468795019357,226.07376936152218
2016-02-26,325.7246331679715,0.5398650651549372,83.67907238492361,68.92204133555897,112.26613548647701,17.06694010490393,228.84796639236936
2016-03-04,335.20184447885435,0.5031836993180958,90.60837717854854,61.401118198172064,107.6327803432223,15.799735997789044,243.41145374640107
2016-03-11,338.6802256393347,0.4971234087617384,90.69487587752404,60.96262291975589,107.59015425356317,15.54005709136286,245.58327683344712
2016-03-18,343.2506730319777,0.48645800656279065,89.76828719352258,60.043736039206834,107.52959255225548,15.212066671813277,243.48861268994585
2016-03-25,340.67010332800726,0.49712186288266275,86.6709137636738,62.65425477024981,108.74372045670806,15.508243603161404,240.5882390939676
2016-04-01,347.5099882396862,0.5036435246208836,87.98569844609173,62.67322445739368,106.79589625800767,15.78329402016696,244.61344352816892
2016-04-08,343.13767295296407,0.5093962565136069,88.6066571613211,61.70620335966012,104.75181580012766,15.772850908597443,245.18083205204866
2016-04-15,349.3415480441436,0.4925179239964849,91.34125703262048,59.27790001258337,102.71846083651045,15.591284307239007,242.49857597091588
2016-04-22,351.12635094967146,0.47754442234379385,93.14806022906457,56.34196758324774,99.59100671647597,15.429690020809092,240.56140495033628
2016-04-29,347.7773662384782,0.46937465227645636,92.5503818957599,57.010460126737165,99.87960650674918,15.123632278237793,234.90477729120963
2016-05-06,347.23318835825324,0.47146634099552126,88.62268571761288,60.54743191351311,104.03106916634772,15.150171747524604,240.99582880156763
2016-05-13,345.72661930244925,0.47161754548204765,86.93259966974797,61.9414236750966,104.4909166539238,15.343546926243032,241.70364281688495
2016-05-20,347.2109879187987,0.4672006341977111,87.4573936781382,60.55283783763773,103.350681779232,15.439056131232817,239.2857012777787
2016-05-27,355.53349503682426,0.4640331784643165,89.56585631770595,59.264324966127035,102.74183628662095,15.446452654480723,239.28671024328307
2016-06-03,356.1384254508711,0.4644862579755151,90.62202927464722,58.2821876986075,100.93936041799019,15.336996436814784,238.98966802147962
2016-06-10,355.43480137656303,0.46176314388957634,91.24896920393275,58.98532356752811,101.85768003055546,15.017248865827145,239.48969157023808
2016-06-17,350.9323539523546,0.4595019598148404,91.19816109837046,59.05164821693154,101.55377465254361,14.873443111248546,240.45261873307692
2016-06-24,345.24575046081156,0.46048582820629586,91.5856223096228,59.79829852891992,101.85874713429118,14.846965497037774,238.9947667272221
2016-07-01,356.05647900392813,0.4618924523445689,90.49798241135905,60.0367420134374,102.15000603617752,14.8939316357275,237.57091319548636
2016-07-08,360.80746553278345,0.46386258459482693,90.46018171241383,60.339091554197246,102.52379507673164,15.001758398349581,239.5788179946062
2016-07-15,366.4114919876816,0.4518732613071201,90.99316674698152,59.25571822549061,101.97378507866534,14.904861157979596,243.31280082627836
2016-07-22,369.0982908436581,0.4530416346689186,89.86006710166824,59.26433044371544,102.70234488105001,15.030076907484954,244.64016620246764
2016-07-29,370.5416797797568,0.4506190529727446,89.36149170885494,59.48133734051232,101.81556103464862,15.006687451717161,244.93302728472173
2016-08-05,373.24659478943727,0.44256045565431523,90.03737119707476,57.98179240085438,100.12107313366636,14.955944018008516,245.04591878403514
2016-08-12,373.73104381131395,0.4394846496687541,90.45766584372878,57.52813767515158,98.75884527224312,14.849617300698196,246.45936985428764
2016-08-19,373.69351365804306,0.4318641031239036,90.56302587835572,56.97730174675126,97.85253126507742,14.660119032667717,246.42644552896425
2016-08-26,371.76571088821316,0.4258000795476107,91.37866736846466,57.03969934979126,98.07167645023988,14.717993947324908,245.29363811475648
2016-09-02,374.1063024039898,0.4202025126548544,91.89333592712408,57.13785643297523,98.09898356067583,14.822209314739688,244.56446560705456
2016-09-09,365.2808507598047,0.4207036146775311,93.16218192127357,56.06953937616702,97.03295283640053,14.872209666618117,245.81331335294237
2016-09-16,367.11208600971327,0.42565830457025466,94.35690563115801,55.886192092996055,96.9146894839032,15.02932816326077,244.65015325960823
