,MSCI USA,MSCI EUROPE,MSCI EM,MSCI KOREA,MSCI JAPAN
2016-05-20,0.47668611685553114,0.21534594211696775,0.030909976548254166,0.03419103893863177,0.24286692554061523
2016-05-27,0.41006205860766,0.14511060265815165,0.018096156225360593,0.14583309947908074,0.28089808302974717
2016-06-03,0.37635239112768887,0.10245987485434215,0.009879197291641495,0.21136071933442965,0.2999478173918978
2016-06-10,0.33579851331321875,0.09088407015485561,0.00422745123833978,0.2304764865394976,0.3386134787540883
2016-06-17,0.3049213686014968,0.1735463518466146,0.004371639866977271,0.09858604025881143,0.4185745994260998
2016-06-24,0.3050026865849661,0.17950851985304983,0.0006154732215384779,0.08217564006678224,0.4326976802736634
2016-07-01,0.3052649989399084,0.1787979477521548,0.0006174748752694867,0.08331557188174128,0.4320040065509261
2016-07-08,0.30580467180236126,0.17866928611164615,8.12143570123016e-05,0.08250225116400683,0.4329425765649735
2016-07-15,0.3665874151563493,0.1070533728298169,0.007742423728663327,0.2022272498986399,0.31638953838653044
2016-07-22,0.377389358465096,0.10766610090290847,0.012174493182706468,0.20624682857727503,0.29652321887201394
2016-07-29,0.4046532391968378,0.12215175712148449,0.014174398711755527,0.1790668797861965,0.2799537251837257
2016-08-05,0.4095813551999531,0.20314998539907853,0.08316378823292363,0.15836414735167476,0.14574072381637013
2016-08-12,0.45693055723442716,0.17673870851413417,0.025451868342470752,0.0944172702347074,0.24646159567426057
2016-08-19,0.4330726048782578,0.1525018235834243,0.02047913290896554,0.13220715589343915,0.26173928273591324
2016-08-26,0.45735790416008293,0.18693691406473023,0.027889904563007255,0.08128073789196644,0.2465345393202132
2016-09-02,0.4581033825646655,0.19634942097061972,0.0337540710213588,0.0751925443261762,0.2366005811171797
2016-09-09,0.4092535941359151,0.1374962916692309,0.02277922413555995,0.16675783557010906,0.263713054489185
2016-09-16,0.40902907591628085,0.14126041783659712,0.016585155308065876,0.14999086870605505,0.2831344822330011
2016-09-23,0.4033234047327111,0.11962300575163543,0.01327057535715533,0.18209526212408828,0.2816877520344098
2016-09-30,0.42219694959613796,0.1382269910873728,0.015495440752839627,0.15026666530601812,0.2738139532576315
2016-10-07,0.3893633356415541,0.12131321432477414,0.01682955580967836,0.18843869896646329,0.28405519525753004
2016-10-14,0.46561340967405446,0.2137073570797218,0.038955604550319184,0.05307542726191576,0.2286482014339889
2016-10-21,0.35197871134711295,0.10103890039098042,0.011431919360208256,0.22190705865412136,0.31364341024757697
2016-10-28,0.32931462502264075,0.10726477476579625,0.01954291564143724,0.23029314710427343,0.31358453746585235
2016-11-04,0.2633643306882765,0.1743338342211799,0.14814687590099393,0.3499930729209259,0.06416188626862358
2016-11-11,0.3420865512525515,0.18850277190498854,0.05737578649748394,0.15468238578340682,0.2573525045615693
2016-11-18,0.34683367632529527,0.1496460888960068,0.00942852768844731,0.13786842641872582,0.35622328067152487
2016-11-25,0.3562880946900563,0.166622366659683,0.011897623199894302,0.11132873344055402,0.3538631820098125
2016-12-02,0.3229385895158319,0.1763780027685884,0.0049703638448631545,0.09074751141329739,0.4049655324574193
2016-12-09,0.45142085161339995,0.20283441401387542,0.022228375165667853,0.04628760429256843,0.27722875491448834
2016-12-16,0.31351041621359516,0.14526851827433807,0.03846962992621453,0.20193891775540357,0.3008125178304487
2016-12-23,0.36282069398367334,0.10598079593387601,0.020533400859154956,0.22653275010936608,0.28413235911392964
2016-12-30,0.3610396649110965,0.09915538569263244,0.01751968465272152,0.2333249783463636,0.288960286397186
2017-01-06,0.3582188719147069,0.08907422334273554,0.0160175730873648,0.24839109171092,0.2882982399442727
2017-01-13,0.3884256702677358,0.11253368384681468,0.019523402353027665,0.20798767895359124,0.2715295645788307
2017-01-20,0.3764265180792723,0.10329051043217263,0.019835550268309018,0.22679481390498643,0.27365260731525964
2017-01-27,0.36350363845495953,0.09308288720583989,0.019041851049590924,0.24556334863045637,0.27880827465915314
2017-02-03,0.3814901499055448,0.10322017180347073,0.01648118478120767,0.22008843624946317,0.2787200572603136
2017-02-10,0.36398043569229577,0.09069511593428409,0.015168765386867329,0.2429199198625174,0.2872357631240355
2017-02-17,0.33582655432072717,0.0768428137269266,0.018876990462417864,0.27889543186111515,0.28955820962881323
2017-02-24,0.3396190377419106,0.07255629776343957,0.01189104669090667,0.27342823519917775,0.30250538260456533
